title,amount,due date,link
Diversity STEM Scholarships,"$2,000 ",05/10/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/diversity-stem-scholarships
Donald White/Mandla A. Ndwanya Memorial Fund Scholarship and Internship in South Africa,"$1,000 ",Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/donald-white-mandla-a-ndwanya-memorial-fund-scholarship-and-internship-in-south-africa
Dr Barbara Odom-Wesley Spirit of Achievement Scholarship,"$3,000 ",02/17/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/dr-barbara-odom-wesley-spirit-of-achievement-scholarship
"Dr. Wesley Eckenfelder, Jr. Scholarship ","$5,000 ",04/15/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/dr-wesley-eckenfelder-jr-scholarship
E. Wayne Kay High School Scholarship,Varies ,Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/e-wayne-kay-high-school-scholarship
ECS Biannual Meeting Travel Grants,Varies ,Varies,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/ecs-biannual-meeting-travel-grants
Edward S. Roth Scholarship,Varies ,02/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/edward-s-roth-scholarship
Elmer Carvey Scholarship,"$1,500 ",07/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/elmer-carvey-scholarship
Elms College STEM Scholarships ,"$10,000 ",02/01/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/elms-college-stem-scholarships
Emerson ASCO Engineering Scholarship,"$5,000 ",04/23/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/emerson-asco-engineering-scholarship
EPOC Environmental Scholarship Fund,Varies ,04/30/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/epoc-environmental-scholarship-fund
EPP Undergraduate Scholarship Program,"$45,000 ",01/31/2020,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/academic-major/electrical-engineering/epp-undergraduate-scholarship-program
